Product Name,Brand,Price,Rating,Link
Women Sling Bag with Detachable Strap,CAPRESE,"₹1,189",3.4,https://www.ajio.com/caprese-women-sling-bag-with-detachable-strap/p/469431157_green
Women Floral Print Tote Bag,CAPRESE,₹489,No Rating,https://www.ajio.com/caprese-women-floral-print-tote-bag/p/469520401_fuchsia
Women Animal Print Tote Bag,CAPRESE,"₹1,119",No Rating,https://www.ajio.com/caprese-women-animal-print-tote-bag/p/4933853960_multi
Women Printed Tote Bag with Double Handles,CAPRESE,"₹1,259",No Rating,https://www.ajio.com/caprese-women-printed-tote-bag-with-double-handles/p/469537843_black
Women Square Shoulder Bag with Detachable Strap,ELLE,"₹3,999",No Rating,https://www.ajio.com/elle-women-square-shoulder-bag-with-detachable-strap/p/467151094_beige
Kushi Tote Bag,CAPRESE,"₹1,050",No Rating,https://www.ajio.com/caprese-kushi-tote-bag/p/460512861_black
Women Embroidered Sling Bag,CAPRESE,"₹2,599",4.3,https://www.ajio.com/caprese-women-embroidered-sling-bag/p/4933853720_multi
No Name,No Brand,No Price,No Rating,No Link
Tote Bag with Zip Pocket,CAPRESE,"₹1,088",4,https://www.ajio.com/caprese-tote-bag-with-zip-pocket/p/469062840_metallic
Satchel Bag with Detachable Strap,CAPRESE,"₹2,100",4.5,https://www.ajio.com/caprese-satchel-bag-with-detachable-strap/p/469202647_maroon
Women Croc-Embossed Tote Bag,CAPRESE,"₹1,349",No Rating,https://www.ajio.com/caprese-women-croc-embossed-tote-bag/p/4933854290_multi
Women Quilted Tote Bag with Zip Closure ,CAPRESE,"₹1,000",No Rating,https://www.ajio.com/caprese-women-quilted-tote-bag-with-zip-closure-/p/467337007_pink
Women Printed Tote Bag with Logo Applique,CAPRESE,₹559,No Rating,https://www.ajio.com/caprese-women-printed-tote-bag-with-logo-applique/p/469520404_fuchsia
Women Floral Print Tote Bag,CAPRESE,"₹1,399",3,https://www.ajio.com/caprese-women-floral-print-tote-bag/p/469537844_black
Women Tote Bag,CAPRESE,₹755,No Rating,https://www.ajio.com/caprese-women-tote-bag/p/469537850_olive
Women Tote Bag with Tassel,CAPRESE,₹755,No Rating,https://www.ajio.com/caprese-women-tote-bag-with-tassel/p/469537851_sage
Tote Bag with Dual Grab Handles,CAPRESE,"₹1,104",5,https://www.ajio.com/caprese-tote-bag-with-dual-grab-handles/p/469202699_black
No Name,No Brand,No Price,No Rating,No Link
Floral Print Sling Bag,CAPRESE,"₹1,049",4.5,https://www.ajio.com/caprese-floral-print-sling-bag/p/469501080_black
Tote Bag with Dual Grab Handles,CAPRESE,"₹1,610",5,https://www.ajio.com/caprese-tote-bag-with-dual-grab-handles/p/469202688_navyblue
Women Sling Bag with Metal Accent,CAPRESE,"₹1,259",No Rating,https://www.ajio.com/caprese-women-sling-bag-with-metal-accent/p/469520330_coral
Shoulder Bag with Metal Logo,CAPRESE,"₹1,540",4,https://www.ajio.com/caprese-shoulder-bag-with-metal-logo/p/469277880_blue
Women Sling Bag with Metal Accent Logo,CAPRESE,"₹1,295",No Rating,https://www.ajio.com/caprese-women-sling-bag-with-metal-accent-logo/p/4932385970_multi
Women Shoulder Bag,CAPRESE,"₹1,349",No Rating,https://www.ajio.com/caprese-women-shoulder-bag/p/469520463_pink
Women Logo Embossed Sling Bag with Detachable Strap,ELLE,"₹3,399",No Rating,https://www.ajio.com/elle-women-logo-embossed-sling-bag-with-detachable-strap/p/467151097_beige
Women Tote Bag with Brand Taping,CAPRESE,"₹1,279",3,https://www.ajio.com/caprese-women-tote-bag-with-brand-taping/p/469520427_blushpink
Tote Bag with Metallic Logo Applique,Berrypeckers,₹690,5,https://www.ajio.com/berrypeckers-tote-bag-with-metallic-logo-applique/p/469299883_lightturquoise
No Name,No Brand,No Price,No Rating,No Link
Women Tote Bag with Metal Accent,CAPRESE,"₹1,100",No Rating,https://www.ajio.com/caprese-women-tote-bag-with-metal-accent/p/467230212_pink
Women Satchel Bag with Metal Logo Accent,CAPRESE,"₹3,198",No Rating,https://www.ajio.com/caprese-women-satchel-bag-with-metal-logo-accent/p/469431220_blue
Women Printed Satchel Bag,CAPRESE,"₹1,259",3,https://www.ajio.com/caprese-women-printed-satchel-bag/p/4933854190_multi
Women Shoulder Bag with Meta Logo,CAPRESE,"₹1,349",5,https://www.ajio.com/caprese-women-shoulder-bag-with-meta-logo/p/469520461_lime
Women Quilted Sling Bag with Adjustable Strap,CAPRESE,₹979,5,https://www.ajio.com/caprese-women-quilted-sling-bag-with-adjustable-strap/p/469520424_fuchsia
Backpack with Adjustable Straps,CAPRESE,"₹1,620",No Rating,https://www.ajio.com/caprese-backpack-with-adjustable-straps/p/460354759_blue
